Common name,Scientific name,Status,No.,No. Back
Pink-eared Duck,Malacorhynchus membranaceus,,31,4
Salvadori's Teal,Salvadorina waigiuensis,,2,0
Muscovy Duck,Cairina moschata,,35,6
White-winged Duck,Asarcornis scutulata,,4,0
Hartlaub's Duck,Pteronetta hartlaubii,,2,0
Wood Duck,Aix sponsa,,89,39
Mandarin Duck,Aix galericulata,,125,8
Maned Duck,Chenonetta jubata,,25,9
African Pygmy Goose,Nettapus auritus,,14,0
Cotton Pygmy Goose,Nettapus coromandelianus,,9,1
Green Pygmy Goose,Nettapus pulchellus,,4,0
Brazilian Teal,Amazonetta brasiliensis,,67,9
Ringed Teal,Callonetta leucophrys,,13,1
Crested Duck,Lophonetta specularioides,,37,6
Bronze-winged Duck,Speculanas specularis,,6,0
Baikal Teal,Sibirionetta formosa,,8,1
Garganey,Spatula querquedula,,212,39
Blue-billed Teal,Spatula hottentota,,3,0
Puna Teal,Spatula puna,,20,0
Silver Teal,Spatula versicolor,,12,0
Red Shoveler,Spatula platalea,,5,1
Cinnamon Teal,Spatula cyanoptera,,25,3
Blue-winged Teal,Spatula discors,,84,21
Cape Shoveler,Spatula smithii,,9,2
Australasian Shoveler,Spatula rhynchotis,,1,0
Northern Shoveler,Spatula clypeata,,233,195
Gadwall,Mareca strepera,,468,305
Falcated Duck,Mareca falcata,,9,6
Eurasian Wigeon,Mareca penelope,,686,407
Chiloe Wigeon,Mareca sibilatrix,,36,10
American Wigeon,Mareca americana,,78,58
Amsterdam Wigeon,Mareca marecula,Extinct,0,0
African Black Duck,Anas sparsa,,8,2
Yellow-billed Duck,Anas undulata,,33,11
Meller's Duck,Anas melleri,,10,0
Pacific Black Duck,Anas superciliosa,,27,14
Laysan Duck,Anas laysanensis,,13,3
Hawaiian Duck,Anas wyvilliana,,6,3
Philippine Duck,Anas luzonica,,4,0
Indian Spot-billed Duck,Anas poecilorhyncha,,27,10
Eastern Spot-billed Duck,Anas zonorhyncha,,20,24
Mallard,Anas platyrhynchos,,1081,2081
Mottled Duck,Anas fulvigula,,16,9
American Black Duck,Anas rubripes,,20,2
Mexican Duck,Anas diazi,,63,25
Cape Teal,Anas capensis,,4,0
White-cheeked Pintail,Anas bahamensis,,12,2
Red-billed Teal,Anas erythrorhyncha,,10,7
Yellow-billed Pintail,Anas georgica,,44,23
Eaton's Pintail,Anas eatoni,,2,1
Northern Pintail,Anas acuta,,203,98
Eurasian Teal,Anas crecca,,842,512
Green-winged Teal,Anas carolinensis,,63,32
Yellow-billed Teal,Anas flavirostris,,48,7
Andean Teal,Anas andium,,25,3
Sunda Teal,Anas gibberifrons,,9,0
Andaman Teal,Anas albogularis,,6,1
Mascarene Teal,Anas theodori,Extinct,0,0
Grey Teal,Anas gracilis,,35,16
Chestnut Teal,Anas castanea,,6,0
Bernier's Teal,Anas bernieri,,7,0
Brown Teal,Anas chlorotis,,2,0
Auckland Teal,Anas aucklandica,,0,0
Campbell Teal,Anas nesiotis,,5,0
Marbled Duck,Marmaronetta angustirostris,,9,0
Pink-headed Duck,Rhodonessa caryophyllacea,Extinct,0,0
Red-crested Pochard,Netta rufina,,70,25
Rosy-billed Pochard,Netta peposaca,,12,0
Southern Pochard,Netta erythrophthalma,,7,0
Canvasback,Aythya valisineria,,11,1
Redhead,Aythya americana,,18,2
Common Pochard,Aythya ferina,,130,19
Hardhead,Aythya australis,,1,0
Madagascar Pochard,Aythya innotata,,5,0
Baer's Pochard,Aythya baeri,,0,0
Ferruginous Duck,Aythya nyroca,,19,2
New Zealand Scaup,Aythya novaeseelandiae,,1,0
Ring-necked Duck,Aythya collaris,,43,2
Tufted Duck,Aythya fuligula,,208,61
Greater Scaup,Aythya marila,,25,0
Lesser Scaup,Aythya affinis,,10,1
Steller's Eider,Polysticta stelleri,,6,0
Spectacled Eider,Somateria fischeri,,7,0
King Eider,Somateria spectabilis,,17,1
Common Eider,Somateria mollissima,,133,108
Harlequin Duck,Histrionicus histrionicus,,36,1
Labrador Duck,Camptorhynchus labradorius,Extinct,0,0
Surf Scoter,Melanitta perspicillata,,20,1
Velvet Scoter,Melanitta fusca,,40,6
White-winged Scoter,Melanitta deglandi,,1,0
Stejneger's Scoter,Melanitta stejnegeri,,1,0
Common Scoter,Melanitta nigra,,573,42
Black Scoter,Melanitta americana,,28,10
Long-tailed Duck,Clangula hyemalis,,161,54
Bufflehead,Bucephala albeola,,23,0
Common Goldeneye,Bucephala clangula,,245,122
Barrow's Goldeneye,Bucephala islandica,,37,1
Smew,Mergellus albellus,,25,6
Hooded Merganser,Lophodytes cucullatus,,31,8
New Zealand Merganser,Mergus australis,Extinct,0,0
Brazilian Merganser,Mergus octosetaceus,,16,0
Common Merganser,Mergus merganser,,175,36
Red-breasted Merganser,Mergus serrator,,74,23
Scaly-sided Merganser,Mergus squamatus,,1,0
Black-headed Duck,Heteronetta atricapilla,,10,1
Masked Duck,Nomonyx dominicus,,18,0
Ruddy Duck,Oxyura jamaicensis,,50,12
Andean Duck,Oxyura ferruginea,,17,0
